dataset,model,attack,variant,variant_order,n_seeds,seeds,clean_acc_mean,clean_acc_std,clean_acc_min,clean_acc_max,backdoored_clean_acc_mean,backdoored_clean_acc_std,backdoored_clean_acc_min,backdoored_clean_acc_max,clean_trigger_asr_mean,clean_trigger_asr_std,clean_trigger_asr_min,clean_trigger_asr_max,poisoned_asr_mean,poisoned_asr_std,poisoned_asr_min,poisoned_asr_max,learned_backdoor_gap_mean,learned_backdoor_gap_std,learned_backdoor_gap_min,learned_backdoor_gap_max,detection_f1_mean,detection_f1_std,detection_f1_min,detection_f1_max,defense_clean_acc_mean,defense_clean_acc_std,defense_clean_acc_min,defense_clean_acc_max,defense_asr_mean,defense_asr_std,defense_asr_min,defense_asr_max,asr_drop_mean,asr_drop_std,asr_drop_min,asr_drop_max,relative_asr_reduction_mean,relative_asr_reduction_std,relative_asr_reduction_min,relative_asr_reduction_max,utility_drop_mean,utility_drop_std,utility_drop_min,utility_drop_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max,all_attack_valid
ACM,HAN,uba,full,0,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.886956536769867,0.012975357550610474,0.875,0.907608687877655,0.015625,0.011048543456039806,0.0,0.0234375,0.9703125,0.02891680550519023,0.921875,1.0,0.984079020726748,0.01127990664254606,0.9752066115702479,1.0,0.0,0.017186282821682934,-0.027173876762390137,0.016304373741149902,29.929402542114257,0.29439913039482385,29.526718854904175,30.26212501525879,True
ACM,HAN,uba,wo_structural_signal,1,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.880434787273407,0.008593162615568493,0.8695651888847351,0.8913043737411499,0.0046875,0.00427908248050911,0.0,0.0078125,0.98125,0.02181912506838897,0.9453125,1.0,0.9952876984126984,0.004302021021503381,0.9920634920634921,1.0,0.006521749496459961,0.005953515522731527,0.0,0.016304373741149902,30.17065587043762,0.17020488633253858,29.914879322052002,30.382395267486572,True
ACM,HAN,uba,wo_feature_signal,2,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.866304361820221,0.017442188930603928,0.842391312122345,0.8804348111152649,0.0125,0.00427908248050911,0.0078125,0.015625,0.9734375,0.02181912506838897,0.9375,0.9921875,0.9873600042634133,0.004204846120456687,0.9841269841269841,0.9921875,0.020652174949645996,0.015080914698101343,0.005434751510620117,0.04347825050354004,30.06737651824951,0.2783315936446014,29.59684991836548,30.330523252487183,True
ACM,HAN,uba,wo_embedding_signal,3,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.87826087474823,0.0061966197768548986,0.8695651888847351,0.885869562625885,0.0109375,0.00427908248050911,0.0078125,0.015625,0.975,0.02304356438086348,0.9375,0.9921875,0.9889225042634133,0.0042693780861808505,0.9841269841269841,0.9921875,0.008695662021636963,0.004861022847504392,0.005434751510620117,0.016304373741149902,29.954681205749512,0.04222812657564434,29.919776916503906,30.00902819633484,True
ACM,HAN,uba,wo_hard_removal,4,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.843478262424469,0.009722037364877256,0.83152174949646,0.85326087474823,0.0671875,0.04228865188351362,0.0078125,0.1171875,0.91875,0.033420702556574124,0.8671875,0.953125,0.9323500836284927,0.04268564396355611,0.8809523809523809,0.9917355371900827,0.04347827434539795,0.0101675527875693,0.03260868787765503,0.05978262424468994,29.99014105796814,0.1616022238580144,29.73894190788269,30.159780740737915,True
ACM,HAN,uba,wo_trigger_purification,5,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,1.0,0.0,1.0,1.0,0.8739130377769471,0.00893026965662532,0.864130437374115,0.885869562625885,0.009375,0.006536406457297465,0.0,0.015625,0.9765625,0.024705294220065465,0.9375,1.0,0.9904850042634133,0.0065717965647760935,0.9841269841269841,1.0,0.013043498992919922,0.010594348326217985,0.0,0.027173936367034912,31.117209434509277,0.3279979819895178,30.81468439102173,31.47943615913391,True
ACM,HAN,uba,wo_trigger_unlearning,6,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,0.0,0.0,0.0,0.0,0.87826087474823,0.014172176905707188,0.85326087474823,0.885869562625885,0.109375,0.018321936561810272,0.0859375,0.125,0.8765625,0.037222278904911234,0.8203125,0.9140625,0.8888066951987407,0.020230183522239827,0.8677685950413223,0.9140625,0.008695662021636963,0.01701356330604045,-0.005434751510620117,0.03804349899291992,20.01722478866577,0.05683722215889182,19.926860809326172,20.08398747444153,True
ACM,HAN,uba,wo_target_suppression,7,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,0.0,0.0,0.0,0.0,0.8728260636329651,0.014172188334370587,0.8586956262588501,0.89673912525177,0.0109375,0.008907620508587016,0.0,0.0234375,0.975,0.031926276158910236,0.921875,1.0,0.9887417191394464,0.00942059732126953,0.9752066115702479,1.0,0.014130473136901855,0.0161221888822967,-0.01086956262588501,0.032608747482299805,29.776924180984498,0.37542647850890615,29.2535297870636,30.149914264678955,True
ACM,HAN,uba,only_hard_removal,8,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,0.0,0.0,0.0,0.0,0.869565212726593,0.008593162615568493,0.8586956262588501,0.8804348111152649,0.1140625,0.041560737744594956,0.0703125,0.1796875,0.871875,0.06264631311477954,0.765625,0.9296875,0.8835608520267612,0.04553877395205003,0.8099173553719008,0.9296875,0.017391324043273926,0.01045402297937846,0.0,0.027173936367034912,21.19727201461792,0.12926916307707484,21.039047718048096,21.347240447998047,True
ACM,HAN,uba,only_unlearning,9,5,"1,2,3,4,5",0.886956536769867,0.004547067839580113,0.8804348111152649,0.8913043737411499,0.606521737575531,0.2764964108731006,0.30434781312942505,0.8260869383811951,0.08125,0.018814991529362963,0.0546875,0.1015625,0.9859375,0.023696485762661094,0.9453125,1.0,0.9046875,0.03882741762434118,0.84375,0.9453125,0.0,0.0,0.0,0.0,0.869565212726593,0.010167568717555727,0.8586956262588501,0.8804348111152649,0.0046875,0.006987712429686843,0.0,0.015625,0.98125,0.021108212634541088,0.9453125,1.0,0.9953125,0.006987712429686843,0.984375,1.0,0.017391324043273926,0.008061109510709938,0.005434751510620117,0.027173936367034912,31.138327169418336,0.2808491394079331,30.89438271522522,31.533184051513672,True
