dataset,model,attack,seed,poisoned_asr,clean_trigger_asr,learned_backdoor_gap,backdoored_clean_acc,attack_valid,source_file
ACM,HAN,cba,1,0.6015625,0.078125,0.5234375,0.804347813129425,True,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed1_20260514_134352.json
ACM,HAN,cba,2,0.6953125,0.078125,0.6171875,0.7228260636329651,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed2_20260514_135034.json
ACM,HAN,cba,3,0.390625,0.0703125,0.3203125,0.8695651888847351,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed3_20260514_135727.json
ACM,HAN,cba,4,1.0,0.0546875,0.9453125,0.3695652186870575,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed4_20260514_140400.json
ACM,HAN,cba,5,0.5546875,0.09375,0.4609375,0.804347813129425,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed5_20260514_141048.json
ACM,HAN,clean_label,1,0.90625,0.09375,0.8125,0.8369565010070801,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed1_20260514_134240.json
ACM,HAN,clean_label,2,0.875,0.0625,0.8125,0.820652186870575,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed2_20260514_134925.json
ACM,HAN,clean_label,3,0.8359375,0.0703125,0.765625,0.7989130616188049,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed3_20260514_135615.json
ACM,HAN,clean_label,4,0.703125,0.0703125,0.6328125,0.8260869383811951,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed4_20260514_140253.json
ACM,HAN,clean_label,5,0.9921875,0.078125,0.9140625,0.7989130616188049,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed5_20260514_140938.json
ACM,HAN,feature,1,0.8515625,0.1171875,0.734375,0.79347825050354,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed1_20260514_133801.json
ACM,HAN,feature,2,0.859375,0.0625,0.796875,0.864130437374115,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed2_20260514_134456.json
ACM,HAN,feature,3,0.9296875,0.09375,0.8359375,0.8695651888847351,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed3_20260514_135137.json
ACM,HAN,feature,4,0.9609375,0.078125,0.8828125,0.7989130616188049,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed4_20260514_135828.json
ACM,HAN,feature,5,0.7578125,0.125,0.6328125,0.83152174949646,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed5_20260514_140507.json
ACM,HAN,relation,1,1.0,0.09375,0.90625,0.70652174949646,False,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed1_20260514_134132.json
ACM,HAN,relation,2,0.96875,0.0625,0.90625,0.7554348111152649,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed2_20260514_134819.json
ACM,HAN,relation,3,1.0,0.0703125,0.9296875,0.5163043737411499,False,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed3_20260514_135508.json
ACM,HAN,relation,4,1.0,0.0703125,0.9296875,0.842391312122345,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed4_20260514_140149.json
ACM,HAN,relation,5,1.0,0.078125,0.921875,0.820652186870575,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed5_20260514_140833.json
ACM,HAN,sba,1,1.0,0.09375,0.90625,0.570652186870575,False,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed1_20260514_133913.json
ACM,HAN,sba,2,1.0,0.078125,0.921875,0.30434781312942505,False,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed2_20260514_134607.json
ACM,HAN,sba,3,1.0,0.0703125,0.9296875,0.885869562625885,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed3_20260514_135250.json
ACM,HAN,sba,4,1.0,0.0546875,0.9453125,0.7663043737411499,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed4_20260514_135936.json
ACM,HAN,sba,5,0.859375,0.1015625,0.7578125,0.8097826242446899,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed5_20260514_140617.json
ACM,HAN,uba,1,1.0,0.09375,0.90625,0.820652186870575,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed1_20260514_134025.json
ACM,HAN,uba,2,0.984375,0.0859375,0.8984375,0.7771739363670349,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed2_20260514_134715.json
ACM,HAN,uba,3,1.0,0.0703125,0.9296875,0.30434781312942505,False,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed3_20260514_135402.json
ACM,HAN,uba,4,1.0,0.0546875,0.9453125,0.30434781312942505,False,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed4_20260514_140045.json
ACM,HAN,uba,5,0.9453125,0.1015625,0.84375,0.8260869383811951,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed5_20260514_140727.json
